 ;;;;; ;;;;;;;
Tabel Positifvity rate Hasil Lab Covid19 - DKI Jakarta;;;;;;;;;;;;
;;;;;;;;;;;;
Tanggal;Tahun;Jumlah orang di tes;Orang Positif Harian;Orang negatif harian;Positif rate kasus baru harian;Total spesimen di tes;Positif;Negatif;Positif rate (specimen harian);;;
23/07/;2021;32.547;8.360;24.187;25,70%;42.040;14.930;27.110;35,50%;;;
;; ;;;;;;;;;;
22/07/;2021;35.589;8.033;27.556;22,60%;45.234;17.280;27.954;38,20%;;;
;;;;;;;;;;;;
21/07/;2021;31.541;7.058;24.483;22,40%;39.828;15.712;24.116;39,40%;;;
;; ;;;;;;;;;;
20/07/;2021;26.083;5.904;20.179;22,60%;32.228;13.185;19.043;40,90%;;;
;;;;;;;;;;;;
19/07/;2021;30.678;6.213;24.465;20,30%;38.760;14.117;24.643;36,40%;;;
;; ;;;;;;;;;;
18/07/;2021;21.828;5.000;16.828;22,90%;28.653;10.795;17.858;37,70%;;;
;;;;;;;;;;;;
17/07/;2021;34.278;9.128;25.150;26,60%;43.385;17.322;26.063;39,90%;;;
;; ;;;;;;;;;;
16/07/;2021;38.512;10.168;28.344;26,40%;48.237;19.882;28.355;41,20%;;;
;;;;;;;;;;;;
15/07/;2021;41.580;12.415;29.165;29,90%;52.529;22.927;29.602;43,60%;;;
;; ;;;;;;;;;;
14/07/;2021;41.734;12.691;29.043;30,40%;53.012;23.205;29.807;43,80%;;;
;;;;;;;;;;;;
13/07/;2021;43.067;12.667;30.400;29,40%;57.428;25.021;32.407;43,60%;;;
;; ;;;;;;;;;;
12/07/;2021;31.632;12.182;19.450;38,50%;40.088;17.049;23.039;42,50%;;;
;;;;;;;;;;;;
11/07/;2021;35.376;14.619;20.757;41,30%;30.950;13.518;17.432;43,70%;;;
;; ;;;;;;;;;;
10/07/;2021;35.642;13.133;22.509;36,80%;39.928;18.848;21.080;47,20%;;;
;;;;;;;;;;;;
09/07/;2021;30.950;12.920;18.030;41,70%;44.914;21.149;23.765;47,10%;;;
;; ;;;;;;;;;;
08/07/;2021;31.847;13.112;18.735;41,20%;44.550;21.969;22.581;49,30%;;;
;;;;;;;;;;;;
07/07/;2021;28.003;12.974;15.029;46,30%;43.425;21.270;22.155;49,00%;;;
;; ;;;;;;;;;;
06/07/;2021;25.453;9.366;16.087;36,80%;42.256;21.821;20.435;51,60%;;;
;;;;;;;;;;;;
05/07/;2021;25.309;9.439;15.870;37,30%;35.796;16.617;19.179;46,40%;;;
;; ;;;;;;;;;;
04/07/;2021;27.356;10.903;16.453;39,90%;25.548;12.378;13.170;48,40%;;;
;;;;;;;;;;;;
03/07/;2021;24.616;10.485;14.131;42,60%;33.897;17.509;16.388;51,70%;;;
;; ;;;;;;;;;;
02/07/;2021;24.478;9.702;14.776;39,60%;34.657;17.056;17.601;49,20%;;;
;;;;;;;;;;;;
01/07/;2021;25.285;9.399;15.886;37,20%;32.813;15.502;17.311;47,20%;;;
;; ;;;;;;;;;;
